5,Хургада,1,1
6,Шарм-Эль-Шейх,1,1
7,Паттайя,2,1
8,Пхукет,2,1
9,Самуи,2,1
10,Дахаб,1,0
11,"Марса Алам",1,0
12,Нувейба,1,0
13,Сафага,1,0
14,Таба,1,0
15,"Эль Гуна",1,0
16,"Юг Гоа",3,0
17,"Центр Гоа",3,0
18,"Север Гоа",3,0
19,Алания,4,1
20,Анталия,4,1
21,Белек,4,0
22,Кемер,4,1
23,Сиде,4,1
24,Бодрум,4,0
25,Даламан,4,0
26,Мармарис,4,1
27,Фетхие,4,0
28,Махдия,5,0
29,Монастир,5,0
30,Сусс,5,0
31,Хаммамет,5,1
32,"Крит - Ираклион",6,0
33,"Крит - Лассити",6,0
34,"Крит - Ретимно",6,0
35,"Крит - Ханья",6,0
37,Бали,7,0
38,Джимбаран,7,0
39,Кута,7,0
40,"Нуса дуа",7,0
41,Санур,7,0
42,Мальдивы,8,0
43,Абу-Даби,9,0
44,Аджман,9,1
45,Дубай,9,0
46,Рас-эль-Хайм,9,1
47,Фуджейра,9,0
48,Шарджа,9,1
49,Варадеро,10,0
50,"Ла Романа",11,0
51,"Пунта Кана",11,0
52,"Хуан Долио",11,0
53,Бентота,12,0
54,Калутара,12,0
55,Коггала,12,0
56,Коломбо,12,0
57,Негомбо,12,0
58,Сигирия,12,0
59,Тринкомале,12,0
60,Краби,2,0
61,"Ко Чанг",2,0
62,Бангкок,2,0
63,"Хуа Хин",2,0
64,"Хайнань - Дадунхай",13,0
65,Пекин,13,0
66,"Хайнань - Санья",13,0
67,"Хайнань - Ялунвань",13,0
68,Барселона,14,0
69,"Коста Брава",14,0
70,"Коста Дель Маресме",14,0
71,"Коста Дорада",14,0
72,"Айя Напа",15,1
73,Ларнака,15,0
74,Лимассол,15,1
75,Никосия,15,0
76,Пафос,15,0
77,Протарас,15,0
78,Афины,6,0
79,Дельфы,6,0
80,Касторья,6,0
82,Пелопоннес,6,0
83,Пиерия,6,0
84,Санторини,6,1
85,Халкидики,6,0
86,Эвия,6,0
87,Нячанг,16,1
88,Фантьет,16,0
89,Районг,2,0
90,"Као Лак",2,0
91,Ломбок,7,0
92,Гавана,10,0
93,"Андорра ла Велла",17,0
94,"Пас де ла Касса",17,0
95,Канильо,17,0
96,"Ла Массана",17,0
97,Пал-Аринсал,17,0
98,Сольдеу,17,0
99,Энкамп,17,0
100,Эскальдес,17,0
101,Тенерифе,14,0
